FieldsheetNo,Context,Mesosquare,Date,Time,Compiled by,TotalTime,Visibility,SlopeGradient,Aspect,Vegetation,LandUse,Topography,SoilTypes,SurfaceCondition,Member1,Member2,Member3,Member4,Member1count,Member2count,Member3count,Member4count,TotalCount,FieldPhoto,FieldPhotoDate,FieldPhotoTakenBy,FieldPhotoTakenFrom,FieldPhotoComments,AdditionalPhoto1,AdditionalPhoto1Date,AdditionalPhoto1TakenBy,AdditionalPhoto1TakenFrom,AdditionalPhoto1Comments,AdditionalPhoto2,AdditionalPhoto2Date,AdditionalPhoto2TakenBy,AdditionalPhoto2TakenFrom,AdditionalPhoto2Comments,Feature1photo,Feature1Type,Feature1GPS,Feature1Notes,Feature1Finds,Feature1Previouslyexcavated,Feature2Photo,Feature2Type,Feature2GPS,Feature2Notes,Feature2Finds,Feature2PreviouslyExcavated,Feature3Photo,Feature3Type,Feature3GPS,Feature3Finds,Feature3Notes,Feature3PreviouslyExcavated,Feature4Photo,Feature4Type,Feature4GPS,Feature4Notes,Feature4Finds,Feature4PreviouslyExcavated,Notes,Feature5Photo,Feature5Type,Feature5GPS,Feature5Notes,Feature5Finds,Feature5PreviouslyExcavated,Feuture6Photo,Feuture6Type,Feature6GPS,Feature6Notes,Feature6Finds,Feature6PreviouslyExcavated,Feature7Photo,Feature7Type,Feature7GPS,Feature7Notes,Feature7Finds#,Feature7PreviouslyExcavated,Feature8Photo,Feature8Type,Feature8GPS,Feature8Notes,Feature8Finds,Feature8PreviouslyExcavated,AdditionalPhoto3,AdditionalPhoto3Date,AdditionalPhoto3TakenBy,AdditionalPhoto3TakenFrom,AdditionalPhoto3Comments,AdditionalPhoto4,AdditionalPhoto4Date,AdditionalPhoto4TakenBy,AdditionalPhoto4TakenFrom,AdditionalPhoto4Comments,Additionalphotograph1comment,Additionalphotograph2comment,Additionalphotograph3comment,Additionalphotograph4comment,Additionalphotograph5comment,Additionalphotograph6comment,Additionalphotograph7comment,Additionalphotograph8comment,Additionalphotograph9comment,Additionalphotograph10comment
1,124,L3.1,01-07-2014,07:03:00,AB,20,2550,(2-20%),NW,"Olive Maquis Cereals",Wasteland,Hill Slope,"Sand Gravel Bedrock",Dry,MB,SdW,RB,KvL,38,20,90,71,219,T14.124.1,01-07-2014,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,124,L3.3,01-07-2014,07:03:00,AB,20,2550,(2-20%),NW,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,SdS,ID,SD,KT,68,51,20,11,150,T14.124.3,01-07-2014,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,124,L3.2,01-07-2014,07:50:00,AB,20,25,(20-35%),NW,"Olive
Maquis
Cereals",Wasteland,Hill Slope,"Sand
Gravel",Dry,SdW,MB,KvL,SdS,36,15,30,13,94,T14.124.2,01-07-2014,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,124,L3.4,01-07-2014,07:50:00,AB,20,25,(20-35%),NW,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,ID,RB,KT,SD,19,10,10,10,49,T14.124.4,01-07-2014,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,170,K4.2,01-07-2014,09:30:00,AB,20,2550,(20-35%),NW,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand
Bedrock",Dry,KvL,RB,SdW,MB,82,96,15,12,205,T14.170.2,01-07-2014,AB,SE,,,,,,,,,,,,170.2-1,mine shaft,"37.737789
24.057486
53.887486
5
9
0.030100",Small mine shaft located in 170.2-1, taken from SW.,,No,170.2-2,mine shaft,"37.737789
24.057486
53.887486
5
9
0.030100",Same mine shaft as #1, close-up photo,,No,,,,,Rubble east of mine shaft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,170,K4.4,01-07-2014,09:30:00,AB,20,2550,(20-35%),NW,"Cereals
Maquis
Olive",Wasteland,Plain,"Bedrock
Sand
Gravel",Dry,ID,SdS,SD,KT,7,9,15,2,33,T14.170.4,01-07-2014,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,171,F4.1,02-07-2014,07:00:00,AB,20,2550,(2-20%),NE,"Cereals
Olive
Maquis",Wasteland,Hill Slope,"Sand
Bedrock
Gravel",Dry,SM,KT,ID,CL,62,28,18,29,137,T14.171.1,02-07-2014,AB,NW,,,,,,,,,,,,t14.171.1-wall,Terrace wall,"37.738100
24.054400
39.600468
5
9
0.472107",located in 171.1-1,,,,Building wall,"37.738059
24.054610
44.647369
5
9
0.003434",T14.171.1-1. Taken from S. See additional photos.,,,,,"37.738023
24.054488
31.039574
5
9
0.007551",,Inscription in bedrock taken from N.,,,,"37.737984
24.054512
40.668793
5
10
0.000560",Tiny graffito in bedrock taken from SW.,,,In F4, there are many bedrock plateaus.,,,,Erosion or cuttings? Same bedrock as feature 3 and 4.,,,,,,Bedrock containing feature 3, 4 and 5. It is possibly cut in a rectangular shape. One edge runns S-N and then makes a 90 degree turn to the west. The crushing plate nearby in E3.4 (254.4) suggests industrial activity?,,,,,,,,,,,,,,,,,,,,,,,,,Two large building blocks, part of feature 2. Taken from S.,,,,,,,,,
8,171,F4.3,02-07-2014,07:00:00,AB,20,2550,(20-35%),NE,"Cereals
Olive
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,SD,MB,RB,SdS,15,9,50,8,82,T14.171.3,02-07-2014,AB,NE,,,,AB,SW,mine entrance 6 in center of mesosquare,,,,,,,,"37.737883
24.054531
29.524231
10
17
0.015649",mine 6,,,,,,,,,,,,,,,,,,,,,"Large brick concentration in T14.171.3-3.

In F4, there are many bedrock plateaus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,171,F4.2,02-07-2014,07:45:00,AB,20,2550,(2-20%),NE,"Olive
Cereals
Maquis",,Hill Slope,"Sand
Gravel
Bedrock",Dry,SD,SdS,MB,ID,25,29,23,33,110,T14.171.2,02-07-2014,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In F4, there are many bedrock plateaus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,171,F4.4,02-07-2014,08:30:00,AB,20,25,(2-20%),NE,"Olive
Cereals
Maquis",,Hill Slope,"Sand
Bedrock
Gravel",Dry,MB,ID,SdS,SD,0,3,27,3,33,T14.171.4,02-07-2014,AB,SE,,,,,,,,,,,,,Inscription,,,,,,,,,,,,,,,,,,,,,,,"Like 171.3-3, 171.4-3 contained many bricks.

In F4, there are many bedrock plateaus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
