id,InventoryNumber,Initials,ExcavationDate,Context,Season,ShapeObject,ShapeDetails,Type,Ware,Material,ProductionPlace,Conservation,Measurements,NbFragments,NbDiscarded,JoinedTo_NbRemarks,DescriptionAndRemarks,Inclusions,Fabric,Glaze,Decoraction_Stamp,Chronology1stImpression,AbsoluteChronology,ToBeDr_Ph,Drawing,Photo,PhotoFabric,Square,Level,ProcessedBy,Zone,Label,Context_Survey_Homogenized
2207,TC2012.0500,VA,24-07-12,T12-101-4,2012,Lekane,base,,black glaze,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2208,TC2012.0501,VA,24-07-12,T12-101-4,2012,Tile,edge,,plain,,Local,Poor,,2,0,2 joining,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2209,TC2012.0502,VA,24-07-12,T12-101-4,2012,Lekane,rim,,black glaze,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2210,TT2012.0503,VA,24-07-12,T12-101-4,2012,Loomweight,profile,,plain,Ceramics,Local,Poor,,1,0,,Loomweight?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2211,TC2012.0504,VA,24-07-12,T12-101-4,2012,Jug,rim,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2212,TC2012.0505,VA,24-07-12,T12-101-4,2012,Pithos,wall,,coarse,Ceramics,Import,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2213,TC2012.0506,VA,24-07-12,T12-101-4,2012,Pithos,wall,,coarse,Ceramics,Local,Very poor,,1,0,,Local?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2214,,VA,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Local,Poor,,0,6,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2215,,VA,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Import,Poor,,3,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2216,,VA,24-07-12,T12-101-4,2012,Tile,wall,,plain,,Local,Poor,,4,4,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
